operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1560,2280,6,15,0,990,0,591,456,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,7,15,2,1320,0,756,651,0 - (0.00)%,0 - (0.00)%
2,1,2040,2280,11,19,1,1440,0,693,558,10 - (52.63)%,660 - (45.83)%
3,0,1320,2280,7,14,0,960,0,868,838,0 - (0.00)%,0 - (0.00)%
4,0,1080,2280,6,14,0,1080,0,636,516,0 - (0.00)%,0 - (0.00)%
5,0,1140,2280,6,16,0,1170,30,580,445,0 - (0.00)%,0 - (0.00)%
6,1,1920,2280,10,19,0,1410,0,704,524,5 - (26.32)%,300 - (21.28)%
7,0,1740,2280,8,17,2,1710,0,599,434,0 - (0.00)%,0 - (0.00)%
8,0,1620,2280,8,15,1,1440,0,571,541,0 - (0.00)%,0 - (0.00)%
9,0,1680,2280,8,19,1,1560,0,1089,1029,0 - (0.00)%,0 - (0.00)%
10,0,1200,2280,7,23,1,1620,420,1026,876,0 - (0.00)%,0 - (0.00)%
11,0,1500,2280,5,10,0,870,0,720,690,0 - (0.00)%,0 - (0.00)%
12,1,2100,2280,11,21,1,2010,0,977,947,8 - (38.10)%,750 - (37.31)%
13,0,1800,2280,8,19,0,1440,0,1069,1009,0 - (0.00)%,0 - (0.00)%
14,0,900,2280,7,19,1,1500,600,625,505,0 - (0.00)%,0 - (0.00)%
15,0,1500,2280,5,22,0,1380,0,1065,960,0 - (0.00)%,0 - (0.00)%
16,1,1980,2280,9,20,0,1410,0,881,746,9 - (45.00)%,690 - (48.94)%
17,1,2160,2280,7,20,0,1440,0,1070,920,11 - (55.00)%,660 - (45.83)%
18,1,1860,2280,8,18,1,1500,0,980,920,13 - (72.22)%,1080 - (72.00)%
19,0,1260,2280,7,12,0,1080,0,665,560,0 - (0.00)%,0 - (0.00)%
20,0,1380,2280,7,18,0,1260,0,452,272,0 - (0.00)%,0 - (0.00)%
21,0,1020,2280,8,16,0,1200,180,744,684,0 - (0.00)%,0 - (0.00)%
22,0,900,2280,9,26,0,1860,960,990,840,0 - (0.00)%,0 - (0.00)%
23,0,960,2280,5,16,0,1230,270,1211,1106,0 - (0.00)%,0 - (0.00)%

mean,-,1502.5,2280.0,7.5,17.62,0.46,1370.0,102.5,815.08,709.46,9.33 - (48.21%),690.0 - (45.2%)
min,-,900,-,5,10,0,870,0,452,272,5 - (26.32%),300 - (21.28%)
25th percentile,-,1185.0,-,6.75,15.0,0.0,1192.5,0.0,633.25,522.0,8.25 - (39.83%),660.0 - (39.44%)
75th percentile,-,1815.0,-,8.0,19.25,1.0,1500.0,7.5,999.0,920.0,10.75 - (54.41%),735.0 - (48.16%)
max,-,2160,-,11,26,2,2010,960,1211,1106,13 - (72.22%),1080 - (72.00%)
total,-,36060,54720,180,423,11,32880,2460,19562,17027,56,4140
