test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,14.81,1.25,1055.62,28.12,809.58,718.64,10.25 - (55.08%),660.0 - (52.4%),30105.34,9.3443e-05,863.34
1,mean,-,1507.5,2280.0,7.5,15.62,0.44,1110.0,13.12,774.75,682.87,6.0 - (43.63%),487.5 - (46.48%),17226.51,0.061960732,15988.56
2,mean,-,1507.5,2280.0,7.5,14.69,0.56,1110.0,48.75,725.58,648.71,9.25 - (50.77%),697.5 - (50.2%),18894.61,0.011092524,11178.96
3,mean,-,1507.5,2280.0,7.5,15.69,0.5,1111.88,30.0,780.42,709.17,9.75 - (53.24%),727.5 - (55.46%),19449.03,0.035062353,11985.23
4,mean,-,1507.5,2280.0,7.5,15.25,0.81,1072.5,1.88,652.07,572.38,9.0 - (49.72%),637.5 - (48.66%),22754.78,0.004826625,12089.76

0,total,-,24120,36480,120,237,20,16890,450,12953.24,11498.240000000002,41,2640,30105.34,9.3443e-05,863.34
1,total,-,24120,36480,120,250,7,17760,210,12395.95,10925.95,24,1950,17226.51,0.061960732,15988.56
2,total,-,24120,36480,120,235,9,17760,780,11609.33,10379.33,37,2790,18894.61,0.011092524,11178.96
3,total,-,24120,36480,120,251,8,17790,480,12486.650000000001,11346.650000000001,39,2910,19449.03,0.035062353,11985.23
4,total,-,24120,36480,120,244,13,17160,30,10433.04,9158.04,36,2550,22754.78,0.004826625,12089.76
