operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1800,2280,4,7,0,420,0,254.81,164.81,0 - (0.00)%,0 - (0.00)%
1,0,1080,2280,6,14,2,1020,0,389.81,164.81,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,10,21,1,1440,0,597.15,357.15,10 - (47.62)%,720 - (50.00)%
3,0,1260,2280,9,16,3,1170,0,770.27,665.27,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,7,15,1,1080,0,623.58,548.58,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,8,21,0,1440,0,762.06,717.06,13 - (61.90)%,930 - (64.58)%
6,0,1440,2280,7,9,2,720,0,457.46,412.46,0 - (0.00)%,0 - (0.00)%
7,0,900,2280,9,13,3,900,0,422.11,317.11,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.5,1.5,1023.75,0.0,534.66,418.41,11.5 - (54.76%),825.0 - (57.29%)
min,-,900,-,4,7,0,420,0,254.81,164.81,10 - (47.62%),720 - (50.00%)
25th percentile,-,1215.0,-,6.75,12.0,0.75,855.0,0.0,414.04,279.04,10.75 - (51.19%),772.5 - (53.64%)
75th percentile,-,1845.0,-,9.0,17.25,2.25,1237.5,0.0,658.2,577.75,12.25 - (58.33%),877.5 - (60.94%)
max,-,2160,-,10,21,3,1440,0,770.27,717.06,13 - (61.90%),930 - (64.58%)
total,-,12240,18240,60,116,12,8190,0,4277.25,3347.25,23,1650
