operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,9,17,3,1290,0,609,579,4 - (23.53)%,330 - (25.58)%
1,0,1260,2280,7,16,0,1080,0,504,354,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,11,20,1,1290,0,467,257,11 - (55.00)%,660 - (51.16)%
3,0,1620,2280,9,24,0,1440,0,729,534,0 - (0.00)%,0 - (0.00)%
4,0,1800,2280,7,15,0,1260,0,285,0,0 - (0.00)%,0 - (0.00)%
5,0,900,2280,5,7,0,420,0,210,120,0 - (0.00)%,0 - (0.00)%
6,0,1080,2280,5,12,0,720,0,240,0,0 - (0.00)%,0 - (0.00)%
7,0,1440,2280,7,16,0,1230,0,466,346,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.88,0.5,1091.25,0.0,438.75,273.75,7.5 - (39.27%),495.0 - (38.37%)
min,-,900,-,5,7,0,420,0,210,0,4 - (23.53%),330 - (25.58%)
25th percentile,-,1215.0,-,6.5,14.25,0.0,990.0,0.0,273.75,90.0,5.75 - (31.4%),412.5 - (31.98%)
75th percentile,-,1845.0,-,9.0,17.75,0.25,1290.0,0.0,530.25,399.0,9.25 - (47.13%),577.5 - (44.76%)
max,-,2160,-,11,24,3,1440,0,729,579,11 - (55.00%),660 - (51.16%)
total,-,12240,18240,60,127,4,8730,0,3510,2190,15,990
