test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,15.38,1.0,1083.75,11.25,492.38,355.5,10.5 - (48.92%),675.0 - (47.39%),12197.29,0,2.12
1,mean,-,1530.0,2280.0,7.5,15.25,1.62,1016.25,0.0,469.75,353.5,9.5 - (54.16%),645.0 - (53.38%),16974,0,2.55
2,mean,-,1530.0,2280.0,7.5,13.88,1.88,982.5,41.25,562.5,444.38,6.5 - (41.89%),480.0 - (43.51%),18813.73,0,3.11
3,mean,-,1530.0,2280.0,7.5,13.62,1.5,1023.75,7.5,479.0,374.0,8.5 - (48.81%),600.0 - (46.24%),15752.86,0,2.22
4,mean,-,1530.0,2280.0,7.5,14.0,1.75,1001.25,41.25,502.5,410.62,8.0 - (44.56%),540.0 - (43.14%),17849.73,0,2.2
5,mean,-,1530.0,2280.0,7.5,15.25,1.75,1016.25,0.0,594.5,489.5,9.5 - (47.96%),660.0 - (49.34%),18498,0,2.47
6,mean,-,1530.0,2280.0,7.5,13.88,2.5,945.0,0.0,572.75,469.62,14.0 - (66.66%),870.0 - (66.19%),23734,0,2.3
7,mean,-,1530.0,2280.0,7.5,14.88,1.75,1020.0,26.25,520.62,419.38,10.0 - (49.49%),720.0 - (51.42%),17888.01,0,2.34
8,mean,-,1530.0,2280.0,7.5,14.0,2.0,971.25,30.0,541.38,419.5,10.0 - (51.59%),675.0 - (49.9%),20162.44,0,2.34
9,mean,-,1530.0,2280.0,7.5,14.12,2.38,971.25,22.5,606.62,509.12,6.5 - (40.62%),450.0 - (40.83%),23548.58,0,2.35

0,total,-,12240,18240,60,123,8,8670,90,3939,2844,21,1350,12197.29,0,2.12
1,total,-,12240,18240,60,122,13,8130,0,3758,2828,19,1290,16974,0,2.55
2,total,-,12240,18240,60,111,15,7860,330,4500,3555,13,960,18813.73,0,3.11
3,total,-,12240,18240,60,109,12,8190,60,3832,2992,17,1200,15752.86,0,2.22
4,total,-,12240,18240,60,112,14,8010,330,4020,3285,16,1080,17849.73,0,2.2
5,total,-,12240,18240,60,122,14,8130,0,4756,3916,19,1320,18498,0,2.47
6,total,-,12240,18240,60,111,20,7560,0,4582,3757,28,1740,23734,0,2.3
7,total,-,12240,18240,60,119,14,8160,210,4165,3355,20,1440,17888.01,0,2.34
8,total,-,12240,18240,60,112,16,7770,240,4331,3356,20,1350,20162.44,0,2.34
9,total,-,12240,18240,60,113,19,7770,180,4853,4073,13,900,23548.58,0,2.35
